Seq.No,School_Name,School Address,Full Address,Province,province_weblink,District,Zone,Education Division,School Level,Type,Year Span,Gender,Medium,latitude,longitude
1,COLOMBO ANANDA COLLEGE,COLOMBO 10,"COLOMBO ANANDA COLLEGE, COLOMBO 10, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.93395,79.8498715
2,COLOMBO NALANDA COLLEGE,"SIRI DAMMA MW, COLOMBO 10","COLOMBO NALANDA COLLEGE, SIRI DAMMA MW, COLOMBO 10, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.93395,79.8498715
3,COLOMBO THURSTAN COLLEGE,COLOMBO 07,"COLOMBO THURSTAN COLLEGE, COLOMBO 07, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.903731,79.859897
4,COLOMBO ROYAL COLLEGE,"RAJAKEEYA MW, COLOMBO 07","COLOMBO ROYAL COLLEGE, RAJAKEEYA MW, COLOMBO 07, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/Tamil/English,6.904795,79.861465
5,COLOMBO D.S.SENANAYAKE COLLEGE,"R.G.SENANAYAKE MW, COLOMBO 07","COLOMBO D.S.SENANAYAKE COLLEGE, R.G.SENANAYAKE MW, COLOMBO 07, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,4.Grd 1-13,1.Boys,Sinhala/Tamil/English,6.909151,79.875831
6,COLOMBO ANANDA B.V.,"REV. HIKKADUWA SRI SUMANGALA NAHIMI MW, COLOMBO 10","COLOMBO ANANDA B.V., REV. HIKKADUWA SRI SUMANGALA NAHIMI MW, COLOMBO 10, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,6.93395,79.8498715
7,COLOMBO GOTHAMI B.V.,"TEMPLE ROAD, COLOMBO 10","COLOMBO GOTHAMI B.V., TEMPLE ROAD, COLOMBO 10, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Borella,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,6.93395,79.8498715
8,HAMEED AL-HUSSEINIE COLLEGE,"45, HUSSEINIA ROAD, COLOMBO-12","HAMEED AL-HUSSEINIE COLLEGE, 45, HUSSEINIA ROAD, COLOMBO-12, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo Central,National,1AB,4.Grd 1-13,1.Boys,Sinhala/Tamil,6.941225,79.860069
9,VIVEKANANDA NATIONAL SCHOOL,"57, NEW CHETTY STREET, COLOMBO-13","VIVEKANANDA NATIONAL SCHOOL, 57, NEW CHETTY STREET, COLOMBO-13, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo Central,National,1AB,4.Grd 1-13,3.Mixed,Tamil/English,6.944814393,79.85973049
10,KOTAHENA M.M.V.,"MAHA VIDYALA MW, COLOMBO 13","KOTAHENA M.M.V., MAHA VIDYALA MW, COLOMBO 13, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo Central,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.9459,79.8617
11,COLOMBO MAHANAMA COLLEGE,"R A DE MEL MAWATHA, COLOMBO 03","COLOMBO MAHANAMA COLLEGE, R A DE MEL MAWATHA, COLOMBO 03, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.905642,79.853814
12,COLOMBO ISIPATHANA COLLEGE,"ISIPATHANA MW, COLOMBO-05","COLOMBO ISIPATHANA COLLEGE, ISIPATHANA MW, COLOMBO-05, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,1.Boys,Sinhala/Tamil/English,6.93395,79.8498715
13,BAMBALAPITIYA HINDU COLLEGE,"77, LORENZ ROAD, COLOMBO 04","BAMBALAPITIYA HINDU COLLEGE, 77, LORENZ ROAD, COLOMBO 04, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,1.Boys,Tamil/English,6.9039648,79.8539001
14,COLOMBO SIRIMAVO BANDARANAYAKE V.,"STANMORE CRESCENT, COLOMBO 07","COLOMBO SIRIMAVO BANDARANAYAKE V., STANMORE CRESCENT, COLOMBO 07, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.93395,79.8498715
15,MILAGIRIYA ST. PAUL'S GIRL'S SCHOOL,"MILAGIRIYA, COLOMBO 05","MILAGIRIYA ST. PAUL'S GIRL'S SCHOOL, MILAGIRIYA, COLOMBO 05, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.8909516,79.8569263
16,COLOMBO VISAKHA V.,"133, VAJIRA RD, COLOMBO 05","COLOMBO VISAKHA V., 133, VAJIRA RD, COLOMBO 05, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.93395,79.8498715
17,BAMBALAPITIYA MUSLIM LADIES COLLEGE,"22, BAMBALAPITIYA, COLOMBO-04","BAMBALAPITIYA MUSLIM LADIES COLLEGE, 22, BAMBALAPITIYA, COLOMBO-04, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Sinhala/Tamil/English,6.9039648,79.8539001
18,BAMBALAPITIYA RAMANATHAN HINDU LADIES COLLEGE,"55/5, LORENCE RD, COLOMBO-04","BAMBALAPITIYA RAMANATHAN HINDU LADIES COLLEGE, 55/5, LORENCE RD, COLOMBO-04, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,2.Girls,Tamil/English,6.883939,79.860534
19,COLOMBO LUMBINI V.,"HAVELOCK TOWN, COLOMBO 05","COLOMBO LUMBINI V., HAVELOCK TOWN, COLOMBO 05, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.8862151,79.863066
20,DEFENCE SERVICES COLLEGE,"34, MALAY ST, COLOMBO-02","DEFENCE SERVICES COLLEGE, 34, MALAY ST, COLOMBO-02, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.926497,79.850393
21,COLOMBO DEVI B.V.,COLOMBO-08,"COLOMBO DEVI B.V., COLOMBO-08, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Colombo,Colombo South,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,6.93395,79.8498715
22,AVISSAWELLA SEETHAWAKA M.M.V.,AVISSAWELLA,"AVISSAWELLA SEETHAWAKA M.M.V., AVISSAWELLA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Homagama,Hanwella,National,1AB,4.Grd 1-13,3.Mixed,Sinhala,6.95368,80.21031
23,HANWELLA RAJASINGHE CENTRAL COLLEGE,"SCHOOL LANE, HANWELLA","HANWELLA RAJASINGHE CENTRAL COLLEGE, SCHOOL LANE, HANWELLA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Homagama,Hanwella,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.3532113,80.8757396
24,HOMAGAMA MAHINDA RAJAPAKSHA COLLEGE,"PITIPANA, HOMAGAMA","HOMAGAMA MAHINDA RAJAPAKSHA COLLEGE, PITIPANA, HOMAGAMA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Homagama,Homagama,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.8402,80.0207
25,SUNEETHA VIDYALAYA,"WATAREKA , PADUKKA","SUNEETHA VIDYALAYA, WATAREKA , PADUKKA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Homagama,Homagama,National,Type 2,5.Grd 6-11,1.Boys,Sinhala,6.8551079,80.0700347
26,DEHIWALA PRESBYTERIAN B.V,DEHIWALA,"DEHIWALA PRESBYTERIAN B.V, DEHIWALA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Piliyandala,Dehiwala,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.85706,79.86859
27,PILIYANDALA M.M.V.,PILIYANDALA,"PILIYANDALA M.M.V., PILIYANDALA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Piliyandala,Kesbewa,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.7999,79.9249
28,MORATUWA PRINCE OF WALES COLLEGE,MORATUWA,"MORATUWA PRINCE OF WALES COLLEGE, MORATUWA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Piliyandala,Moratuwa,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.7745227,79.882978
29,MORATUWA PRINCESS OF WALES' COLLEGE,"RAWATHAWATHA, MORATUWA","MORATUWA PRINCESS OF WALES' COLLEGE, RAWATHAWATHA, MORATUWA, Sri Lanka",Western,http://www.wpedu.sch.lk/,Colombo,Piliyandala,Moratuwa,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.7916284,79.8888141
